epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,869.526,0.77888,0.59098,1.11322,0.9934,0.98854,0.99351,0.90562,0.4669,0.26641,0.88833,0.0004853,0.0004853,0.0004853
155,875.082,0.75332,0.55489,1.09194,0.99423,0.98795,0.99298,0.9012,0.48151,0.26332,0.89512,0.0004754,0.0004754,0.0004754
156,880.629,0.7674,0.56576,1.09745,0.99423,0.98854,0.99373,0.91569,0.43923,0.25952,0.88821,0.0004655,0.0004655,0.0004655
157,886.19,0.76554,0.56067,1.09641,0.99423,0.98814,0.9931,0.91035,0.44611,0.25907,0.88453,0.0004556,0.0004556,0.0004556
158,891.732,0.74841,0.55432,1.09424,0.99424,0.98833,0.99366,0.91754,0.42217,0.25498,0.88298,0.0004457,0.0004457,0.0004457
159,897.259,0.75247,0.56841,1.10217,0.99702,0.98854,0.99448,0.91449,0.43653,0.25633,0.87608,0.0004358,0.0004358,0.0004358
160,902.795,0.75609,0.56773,1.09489,0.99424,0.98854,0.99422,0.89157,0.50273,0.27386,0.89951,0.0004259,0.0004259,0.0004259
161,908.364,0.76101,0.57234,1.11679,0.99423,0.98791,0.99418,0.92325,0.41783,0.25515,0.87962,0.000416,0.000416,0.000416
162,914.009,0.76691,0.56876,1.10483,0.99423,0.98809,0.99419,0.91016,0.45368,0.25899,0.8902,0.0004061,0.0004061,0.0004061
163,919.531,0.74823,0.56378,1.09428,0.99423,0.98785,0.994,0.89352,0.48965,0.27098,0.90098,0.0003962,0.0003962,0.0003962
164,925.065,0.75222,0.55555,1.10222,0.99423,0.98775,0.9937,0.89422,0.47585,0.26631,0.89608,0.0003863,0.0003863,0.0003863
165,930.59,0.75394,0.5696,1.10876,0.99423,0.9882,0.99332,0.9165,0.4291,0.25636,0.89186,0.0003764,0.0003764,0.0003764
166,936.129,0.74261,0.54693,1.08873,0.99511,0.98567,0.99327,0.92842,0.39212,0.24747,0.87608,0.0003665,0.0003665,0.0003665
167,941.747,0.73776,0.54643,1.0999,0.99712,0.99106,0.99431,0.89706,0.47589,0.26369,0.88644,0.0003566,0.0003566,0.0003566
168,947.282,0.72703,0.53871,1.07544,0.99711,0.98839,0.99411,0.92246,0.41432,0.24984,0.87545,0.0003467,0.0003467,0.0003467
169,952.805,0.72157,0.53177,1.08628,0.99712,0.99072,0.99416,0.92213,0.41371,0.24913,0.87361,0.0003368,0.0003368,0.0003368
170,958.361,0.72694,0.54503,1.08769,0.99634,0.9914,0.99457,0.90619,0.46457,0.2617,0.88866,0.0003269,0.0003269,0.0003269
171,963.909,0.72203,0.54281,1.08317,0.99621,0.98567,0.99351,0.92217,0.41861,0.24979,0.87893,0.000317,0.000317,0.000317
172,969.443,0.72123,0.54213,1.0919,0.99711,0.98828,0.99357,0.9109,0.4377,0.25633,0.8884,0.0003071,0.0003071,0.0003071
173,974.968,0.74204,0.54753,1.0855,0.99712,0.99132,0.99408,0.92022,0.41214,0.25105,0.87566,0.0002972,0.0002972,0.0002972
174,980.506,0.697,0.51873,1.06793,0.99423,0.98854,0.99389,0.91796,0.42744,0.25119,0.88358,0.0002873,0.0002873,0.0002873
