epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
121,2234.28,0.77149,0.53266,1.00261,0.99035,0.9237,0.96006,0.84523,0.52078,0.31431,0.87773,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,2252.67,0.76468,0.52614,0.99707,0.99439,0.918,0.96432,0.84524,0.5296,0.31424,0.87887,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,2270.93,0.77056,0.5255,0.99773,0.9893,0.92476,0.96231,0.84293,0.54895,0.30992,0.88016,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,2289.21,0.76448,0.52919,1.00115,0.99192,0.923,0.96225,0.8463,0.52907,0.30657,0.8799,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,2307.59,0.76031,0.52281,0.99855,0.99248,0.92366,0.96123,0.84311,0.55217,0.31284,0.88182,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,2325.89,0.76315,0.51295,0.99569,0.98925,0.926,0.96145,0.83951,0.55372,0.3135,0.87995,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,2344.08,0.75577,0.5196,0.99718,0.99209,0.925,0.9621,0.84421,0.53835,0.3123,0.87954,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,2362.42,0.74372,0.50952,0.98717,0.99157,0.923,0.96291,0.84002,0.55203,0.3119,0.88196,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,2380.67,0.74717,0.50646,0.98928,0.99037,0.92585,0.96067,0.84326,0.53474,0.30881,0.87985,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,2398.94,0.74991,0.50809,0.99169,0.99102,0.925,0.96411,0.84582,0.53821,0.31286,0.8813,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,2417.23,0.75013,0.51101,0.99428,0.99145,0.92754,0.95912,0.85015,0.51685,0.30763,0.87632,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
