epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,492.374,0.34169,1.65391,0.23136,0.24002,0.89198,0.9965,1,0.995,0.97781,0.92651,0.92977,0.8915,0.54105,0.23585,1.68058,0.01714,0.15725,0.77838,0.0002576,0.0002576,0.0002576
90,498.056,0.34391,1.58965,0.22355,0.24575,0.89384,0.99662,1,0.995,0.9798,0.94329,0.94649,0.91686,0.5649,0.23349,1.56733,0.01744,0.15373,0.77928,0.0002378,0.0002378,0.0002378
91,504.245,0.21402,1.33617,0.01697,0.15623,0.78366,0.99644,1,0.995,0.97257,0.93312,0.93645,0.89945,0.55021,0.24333,1.58165,0.01326,0.15641,0.78221,0.000218,0.000218,0.000218
92,509.741,0.20917,1.26305,0.01311,0.15321,0.79092,0.9964,1,0.99497,0.97415,0.94308,0.94649,0.93293,0.59169,0.24091,1.46477,0.01191,0.15924,0.78179,0.0001982,0.0001982,0.0001982
93,515.406,0.2032,1.20281,0.01141,0.14927,0.78854,0.99642,1,0.995,0.97749,0.95976,0.96321,0.95611,0.61764,0.2356,1.39216,0.01119,0.15442,0.77961,0.0001784,0.0001784,0.0001784
94,520.956,0.20156,1.13366,0.00936,0.14703,0.78278,0.99645,1,0.995,0.97845,0.95312,0.95652,0.93772,0.61546,0.23091,1.38481,0.01018,0.15242,0.77817,0.0001586,0.0001586,0.0001586
95,526.466,0.19792,1.10895,0.00846,0.14519,0.78082,0.99639,1,0.995,0.97927,0.95307,0.95652,0.93744,0.63833,0.23589,1.34017,0.00749,0.15415,0.78197,0.0001388,0.0001388,0.0001388
96,532.027,0.19473,1.00636,0.00956,0.14402,0.78299,0.99646,1,0.995,0.97887,0.95646,0.95987,0.94418,0.64549,0.23704,1.30511,0.00844,0.15576,0.78193,0.000119,0.000119,0.000119
97,537.695,0.18624,1.00032,0.00788,0.14065,0.78113,0.99666,0.99947,0.995,0.97674,0.95998,0.9627,0.94671,0.66429,0.23561,1.25472,0.00778,0.15739,0.78191,9.92e-05,9.92e-05,9.92e-05
98,543.156,0.18989,0.98409,0.00799,0.14216,0.78767,0.99636,1,0.995,0.97974,0.95636,0.95987,0.94227,0.65967,0.2321,1.26063,0.00782,0.15337,0.78057,7.94e-05,7.94e-05,7.94e-05
99,548.612,0.18836,0.94601,0.00833,0.14261,0.77553,0.99623,1,0.995,0.97818,0.95624,0.95987,0.94346,0.66529,0.2285,1.25612,0.00797,0.15366,0.77998,5.96e-05,5.96e-05,5.96e-05
100,554.16,0.18735,0.93094,0.00761,0.14001,0.78136,0.99553,1,0.995,0.97913,0.9589,0.96321,0.9504,0.66504,0.22903,1.23064,0.00719,0.15157,0.77996,3.98e-05,3.98e-05,3.98e-05
